Name,Organization Type,Aid Type,Support Region,Contact,Online Info,For the Tenant,Description,Last Updated,Languages / Communication Needs Served,Upcoming Happenings
988: National Suicide Prevention Lifeline,Non-Profit,Mental Health,No Limit,https://988lifeline.org/contact-the-lifeline/,https://988lifeline.org/talk-to-someone-now/,"The National Suicide Prevention Lifeline: Text HOME to 741741 or call 988. Available 24/7, wait times are usually 5-20 minutes.","A nationwide network of crisis centers for people at risk of suicide. There are a couple of crisis centers in the KC Metro area, so you will be getting local support — Swope and University Health can send out mobile response teams. Workers at the crisis centers can contact the police/emergency services if they judge that there is imminent risk, although policies depend on the center. Tenants can also chat on an online form or text the number to be routed to a crisis counselor.","June 12, 2023",,
ACLU Know Your Immigrants’ Rights Page,Non-Profit,Immigration,No Limit,,https://www.aclu.org/know-your-rights/immigrants-rights,"Derechos de los Inmigrantes ACLU  https://www.aclu.org/know-your-rights/derechos-de-los-inmigrantes // ACLU Know Your Immigrants’ Rights Page: https://www.aclu.org/know-your-rights/immigrants-rights ",Information on Immigrants’ rights from ACLU. Has a button to put the website in Spanish,"June 26, 2023",,
Advocates for Immigrant Rights and Reconciliation (AIRR),,Immigration,,(913) 229-6183,,"Information for immigrants, refugees, & asylum seekers. (913) 229-6183",,"June 30, 2023",,
Bishop Sullivan Center,Non-Profit,"Inability to Pay Rent, Utility Issues",Jackson County Residents Only,"Financial assistance info and application: https://www.bishopsullivan.org/get-help/household-assistance/
(816) 231-0984",https://www.bishopsullivan.org/,Bishop Sullivan Center: Past-due rental/mortgage and past-due utilities assistance for Jackson County residents at or below 185% of the federal poverty guidelines. Application form can be found here: https://www.bishopsullivan.org/get-help/household-assistance/. Call 816-231-0984,"• Must be able to prove an active source of income.
• Past-due rental/mortgage and past-due utilities assistance for Jackson County residents at or below 185% of the federal poverty guidelines. 
• Must have your name on the lease or mortgage; must have a letter of delinquency, foreclosure or eviction; must have paid on the bill within the last 90 days
• The individual must have been renting at their residence for at least 6 months
• For utilities, must be in your name; must have received a disconnect notice; must have paid on the bills within the last 90 days
• They do partner with the police social workers from time to time when they have a family that needs support.  This has typically ranged from getting electricity back on to replacing a window due to gun violence.  
• They are a MAAC agency and often partner with other social services agencies, especially if it is to help a client get their arrears rent met. Their rental assistance is typically limited to help with one month and anything owed over that either has to have arrangements in writing by the landlord or have the rest of the money secured (through the clients own means or another agency).","March 11, 2025","English, Spanish",
Catholic Charities,Non-Profit,"Diapers, Food, Inability to Pay Rent, Utility Issues",KC Metro Area,"Family Support Center: (913) 621-3445 (line open from 8:30 AM to 4:30 PM)
Diaper pickup: M-F 8:30-4; must sign up online (https://happybottoms.org/get-diapers/).",https://happybottoms.org/get-diapers/,"Catholic Charities (600 Minnesota Ave, KC, Kansas): Food pantry and Family Support Center, Rental and Utility Assistance (913) 621-3445. Diapers at https://happybottoms.org/get-diapers/.

For Missouri residents, call (816) 221-4377  ( Catholic Charities of Kansas City-St Joseph https://catholiccharities-kcsj.org/ )
Financial Aid applications are taken via phone only on Mondays starting at 8:15am and until their weekly quota is full, first come first served.
Food pantry hours are Monday - Thursday 8:00am - 11:00am and 1:30pm - 3:30pm","Based In KCK, Catholic Charity with food pantry, diapers, rent and utility help by appointment only.","March 17, 2025",,
Center for Conflict Resolution,Non-Profit,Neighbor Dispute,KC Metro Area,"Email
mailto:info@ccrkc.org

Phone
(816) 461-8255",https://www.ccrkc.org/,"Center for Conflict Resolution: Mediation services. Costs depend on the situation. They don’t
turn people away if they can’t pay and rates are a sliding scale. Contact info: 816.461.8255 or
ask questions through mailto:info@ccrkc.org.","The Center for Conflict Resolution helps people solve conflicts without the need for escalation. By providing a safe, structured environment that encourage processes to resolve and transform conflict, people are able to become skilled in the tools necessary to create peaceful solutions and restore relationships.

The CCR provides education and training for children, individual/community organizations, and prisoners seeking re-entry into society.","June 30, 2023",,
Central Presbyterian,Non-Profit,Food,KCMO Residents Only,,,"Central Presbyterian: Food pantry Wednesday 7:30-11:30 am. 3501 Campbell St, KCMO. Only for zip code 64109--must bring proof of address and ID","• Only for zip code 64109--must bring proof of address and ID
• Wednesday 7:30-11:30 am
• Food pantry enters info in a MAAC database (very secure) 
• Harvesters doesn’t take names but they give Harvesters monthly #s they served 
• No contracting with the police","June 26, 2023",,
"CHES, Inc.",Non-Profit,"Inability to Pay Rent, Utility Issues",KCMO Residents Only,(816) 533-7417 or contact through https://chesinc.org/services/foreclosure-prevention/,https://chesinc.org/services/foreclosure-prevention/,CHES Inc: Now providing rental assistance to tenants who live within KCMO City limits. They also help cover utility costs as well. You can call them at 816-533-7417 or visit them at http://chesinc.org/services/foreclosure-prevention/,"CHES Inc will refer callers to LIHEAP for utility assistance

Eligibility requirements are stated below:
• Must have a home address within KCMO City limits
• May cover some back-rent and/or forward rent
• Individual applying must be included on the lease if seeking rent assistance
• (unfortunately, electricity, gas, and water are the only utilities included)
• Individual does NOT have to be a U.S. citizen to receive services
• They do not do criminal checks but they cannot stop the landlord from doing one and not accepting the assistance 
• In order to get assistance with them you cannot have another other open case for rental assistance. 

CHES Inc. responds within 48 hours. They have people to assist if there is a language barrier.","March 11, 2025",,
Children’s Mercy’s Nurse Advice Line,Non-Profit,Physical Health,No Limit,816-234-3188,,Call the Children’s Mercy’s Nurse Advice Line to get answers about your child’s (18 years or younger) illness or injury: 816-234-3188,"When your child (age 18 or younger) is sick or injured and primary care provider is not available, call to get advice from the nurse advice line. You cannot leave a message, so you have to wait until someone answers.
Available 24/7. Estimated wait time typically 4-20 minutes. 
They have on-demand interpreters available to accommodate nearly 100 languages. If they do not have an interpreter at the ready, parents will have to wait for a call back once an interpreter is available. 
The call back method is also used if someone is hard of hearing, otherwise they advise the caller to go through 7-1-1 relay services first.","June 27, 2023",,
Chosen Family KC,Mutual Aid,"Inability to Pay Rent, Sexual Violence, Unhealthy Living Conditions",KC Metro Area,"Email (Preferred Contact)
mailto:chosenfamilykc@gmail.com

Phone
(816) 226-7575","https://linktr.ee/chosenfamilykc ","Chosen Family KC
Phone: (816) 226-7575
Email: chosenfamilykc@gmail.com
https://linketr.ee/chosenfamilykc

1. Email or call and let them know you were referred to them via the KC Tenants Hotline.
2. Describe your current needs and they should be able to provide one-on-one assistance.
3. Check the link for more info!","Chosen Family KC is a mutual aid project that offers advocacy, education, and resources to support queer & trans people in our community. Their goal is to help fill in the gaps left by services nonprofit organizations cannot offer due to restrictions on grant funding. Chosen Family's mutual aid fund helps queer & trans folks afford their HRT (hormone replacement therapy; estrogen/testosterone), binders, medications, gender-affirming makeup/clothing, apartment applications, transportation, accessibility aids, and other necessities. Their funds aren't restricted to specific items or purposes, so what we can help with depends only on the amount they receive through community contributions. 

Chosen Family has volunteers experienced in supporting LGBTQ victim-survivors of sexual assault, domestic violence, and trafficking through court processes, safety planning, and mental health interventions. Their volunteers are also trained to provide education on LGBTQ topics.","October 31, 2022",,
Church of the Resurrection,Non-Profit,Food,,,https://resurrection.church/local/hunger/,"Church of the Resurrection: Food pantry, Overland Park Campus (8412 95th St)","Open for calls M-R 10-3:30 PM
• In-person food pantry
• Wednesdays 9am-12pm and 3-7pm, sign up in advance: https://cor.org/overlandpark/localimpact
• Don’t collect info/mostly refer resources
• Do contract w/ KCPD for event security 
Accessibility:
• Website suggests using the pantry bi-weekly or on an as-needed basis, could be a potential barrier.
• Website doesn’t specify how they handle language barriers
• Safe for LGBTQ folks, has a section on LGBTQ Ministry (?)","June 26, 2023",,
